year,day_type,bus,rail_boardings,total_rides
2001,W,780827,501952,1282779
2001,W,824923,536432,1361355
2001,W,870021,550011,1420032
2001,W,890426,557917,1448343
2001,W,985221,590706,1575927
2001,W,978377,599905,1578282
2001,W,984884,602052,1586936
2001,W,995561,607503,1603064
2001,W,1018985,605252,1624237
2001,W,675845,412149,1087994
2001,W,1024367,622163,1646530
2001,W,1018690,620343,1639033
2001,W,1006996,618832,1625828
2001,W,909964,583851,1493815
2001,W,1005936,598777,1604713
2001,W,1019983,610352,1630335
2001,W,991661,606835,1598496
2001,W,1004257,609877,1614134
2001,W,965324,597039,1562363
2001,W,953532,587052,1540584
2001,W,982046,607858,1589904
2001,W,999392,610508,1609900
2001,W,1054608,615268,1669876
2001,W,966701,577767,1544468
2001,W,1045944,600588,1646532
2001,W,1039393,612435,1651828
2001,W,1015059,609022,1624081
2001,W,1007760,610237,1617997
2001,W,970826,593354,1564180
2001,W,872330,539393,1411723
2001,W,1050834,622753,1673587
2001,W,1004304,610966,1615270
2001,W,1028938,613323,1642261
2001,W,1033040,601418,1634458
2001,W,782447,457891,1240338
2001,W,1035400,610284,1645684
2001,W,986212,600133,1586345
2001,W,986399,606302,1592701
2001,W,1024235,602352,1626587
2001,W,1009329,609256,1618585
2001,W,1000630,609305,1609935
2001,W,990416,610013,1600429
2001,W,1051889,618440,1670329
2001,W,1062234,611578,1673812
2001,W,863086,549759,1412845
2001,W,1013530,603561,1617091
2001,W,1028462,616666,1645128
2001,W,1000946,611371,1612317
2001,W,1038368,606672,1645040
2001,W,979411,588857,1568268
2001,W,1017685,611347,1629032
2001,W,1025283,619417,1644700
2001,W,960667,596612,1557279
2001,W,923613,583359,1506972
2001,W,1021700,602469,1624169
2001,W,1034388,618340,1652728
2001,W,1029332,616764,1646096
2001,W,1030741,617815,1648556
2001,W,1030685,605605,1636290
2001,W,989316,583176,1572492
2001,W,1017904,600914,1618818
2001,W,1007699,601999,1609698
2001,W,1020098,605027,1625125
2001,W,978244,590403,1568647
2001,W,1023629,611098,1634727
2001,W,1057275,613993,1671268
2001,W,1047634,625348,1672982
2001,W,973118,606535,1579653
2001,W,1015046,611352,1626398
2001,W,998290,596418,1594708
2001,W,1024817,613311,1638128
2001,W,985906,606764,1592670
2001,W,991795,608691,1600486
2001,W,865706,527116,1392822
2001,W,859713,564614,1424327
2001,W,877834,583859,1461693
2001,W,907539,599600,1507139
2001,W,917518,596505,1514023
2001,W,922082,590659,1512741
2001,W,979788,590446,1570234
2001,W,1031150,618513,1649663
2001,W,977794,609447,1587241
2001,W,1028140,624617,1652757
2001,W,1034472,610723,1645195
2001,W,1008390,600424,1608814
2001,W,1067496,632996,1700492
2001,W,1034088,627894,1661982
2001,W,1065048,634792,1699840
2001,W,1046692,621087,1667779
2001,W,1007381,598338,1605719
2001,W,1044379,621604,1665983
2001,W,1041324,619928,1661252
2001,W,1018705,614067,1632772
2001,W,1004068,600295,1604363
2001,W,963027,581644,1544671
2001,W,1035512,633053,1668565
2001,W,995884,627978,1623862
2001,W,1006118,628882,1635000
2001,W,1027834,628829,1656663
2001,W,958236,590204,1548440
2001,W,1019568,637152,1656720
2001,W,978614,619656,1598270
2001,W,973423,615727,1589150
2001,W,988982,597892,1586874
2001,W,1003029,595375,1598404
2001,W,1002940,607442,1610382
2001,W,965359,602748,1568107
2001,W,1057056,611631,1668687
2001,W,1029447,599699,1629146
2001,W,935443,606051,1541494
2001,W,1004243,627572,1631815
2001,W,1004748,646177,1650925
2001,W,1012502,642049,1654551
2001,W,910186,586260,1496446
2001,W,946314,605737,1552051
2001,W,911372,599114,1510486
2001,W,891710,602538,1494248
2001,W,912712,612983,1525695
2001,W,909937,590688,1500625
2001,W,944122,613028,1557150
2001,W,939471,612707,1552178
2001,W,900375,596076,1496451
2001,W,957514,626565,1584079
2001,W,947130,621006,1568136
2001,W,944301,635326,1579627
2001,W,944274,634994,1579268
2001,W,942731,611002,1553733
2001,W,996694,666587,1663281
2001,W,958879,627767,1586646
2001,W,990209,827670,1817879
2001,W,918500,606574,1525074
2001,W,958011,643965,1601976
2001,W,935542,597633,1533175
2001,W,937066,610069,1547135
2001,W,960775,614294,1575069
2001,W,949551,636236,1585787
2001,W,957097,641244,1598341
2001,W,880246,623660,1503906
2001,W,920250,625940,1546190
2001,W,935427,612765,1548192
2001,W,949691,618451,1568142
2001,W,937942,610617,1548559
2001,W,854318,574685,1429003
2001,W,939133,630753,1569886
2001,W,874776,612547,1487323
2001,W,954848,636674,1591522
2001,W,933625,634484,1568109
2001,W,908372,586076,1494448
2001,W,884617,596502,1481119
2001,W,873553,612734,1486287
2001,W,790639,549367,1340006
2001,W,984483,603405,1587888
2001,W,907499,585919,1493418
2001,W,875431,610601,1486032
2001,W,854367,596163,1450530
2001,W,846305,602242,1448547
2001,W,946431,626136,1572567
2001,W,892382,571719,1464101
2001,W,866757,598019,1464776
2001,W,878793,584203,1462996
2001,W,800887,581402,1382289
2001,W,929083,598538,1527621
2001,W,876831,606101,1482932
2001,W,894995,608242,1503237
2001,W,864392,599157,1463549
2001,W,906026,612615,1518641
2001,W,926014,619276,1545290
2001,W,900370,590849,1491219
2001,W,933626,628532,1562158
2001,W,901782,625324,1527106
2001,W,913200,617044,1530244
2001,W,986749,616977,1603726
2001,W,1120482,625640,1746122
2001,W,1047878,644950,1692828
2001,W,1053246,644766,1698012
2001,W,1070339,659824,1730163
2001,W,1075781,661092,1736873
2001,W,957593,525953,1483546
2001,W,931165,588507,1519672
2001,W,1010171,607718,1617889
2001,W,1034666,613645,1648311
2001,W,919985,609381,1529366
2001,W,1039365,626518,1665883
2001,W,939442,625612,1565054
2001,W,973094,646112,1619206
2001,W,967583,626032,1593615
2001,W,940207,622061,1562268
2001,W,968563,638815,1607378
2001,W,1028542,639258,1667800
2001,W,1024125,642860,1666985
2001,W,1024142,645884,1670026
2001,W,1069361,639795,1709156
2001,W,1078342,658020,1736362
2001,W,1018388,657170,1675558
2001,W,902598,649681,1552279
2001,W,1034680,651273,1685953
2001,W,802729,531294,1334023
2001,W,1055377,645072,1700449
2001,W,898767,637568,1536335
2001,W,1025128,647937,1673065
2001,W,1000153,625089,1625242
2001,W,1037513,627937,1665450
2001,W,1022047,634396,1656443
2001,W,1036702,641266,1677968
2001,W,1017434,646140,1663574
2001,W,956423,642121,1598544
2001,W,1012782,621894,1634676
2001,W,1000304,638393,1638697
2001,W,867027,625218,1492245
2001,W,947047,618401,1565448
2001,W,981933,613047,1594980
2001,W,1019942,623086,1643028
2001,W,994503,629005,1623508
2001,W,978585,628587,1607172
2001,W,1029256,641642,1670898
2001,W,1042714,645966,1688680
2001,W,1057697,629864,1687561
2001,W,1044478,638448,1682926
2001,W,1033982,640396,1674378
2001,W,1004574,636400,1640974
2001,W,931849,620257,1552106
2001,W,812747,527242,1339989
2001,W,1026715,641101,1667816
2001,W,994462,624162,1618624
2001,W,983434,615519,1598953
2001,W,1046467,623566,1670033
2001,W,999890,600948,1600838
2001,W,1005581,612391,1617972
2001,W,988420,589664,1578084
2001,W,641780,356646,998426
2001,W,993754,600439,1594193
2001,W,985583,613858,1599441
2001,W,981842,614405,1596247
2001,W,972155,613392,1585547
2001,W,1039082,625037,1664119
2001,W,1051222,599106,1650328
2001,W,1049416,613294,1662710
2001,W,1039940,622264,1662204
2001,W,1020021,623428,1643449
2001,W,1023743,618300,1642043
2001,W,1005376,597416,1602792
2001,W,1010462,614387,1624849
2001,W,981259,609660,1590919
2001,W,990166,610845,1601011
2001,W,982986,600798,1583784
2001,W,995060,593314,1588374
2001,W,1014592,608735,1623327
2001,W,958790,591815,1550605
2001,W,987827,586572,1574399
2001,W,994499,569456,1563955
2001,W,525908,257022,782930
2001,W,619967,380064,1000031
2001,W,690465,436814,1127279
2001,W,739404,456879,1196283
2001,W,650794,321388,972182
2002,W,766853,491630,1258483
2002,W,838088,523292,1361380
2002,W,858709,528849,1387558
2002,W,953807,568929,1522736
2002,W,973200,585667,1558867
2002,W,985622,591671,1577293
2002,W,974188,591742,1565930
2002,W,1006535,591718,1598253
2002,W,985931,593642,1579573
2002,W,983090,601489,1584579
2002,W,955758,608009,1563767
2002,W,968715,598282,1566997
2002,W,967930,581331,1549261
2002,W,648994,392312,1041306
2002,W,1012565,603877,1616442
2002,W,990484,600427,1590911
2002,W,1007218,605974,1613192
2002,W,1028432,601352,1629784
2002,W,1009923,595606,1605529
2002,W,979719,597598,1577317
2002,W,936013,602737,1538750
2002,W,879895,602988,1482883
2002,W,954707,585087,1539794
2002,W,988315,576117,1564432
2002,W,997471,596800,1594271
2002,W,1011650,597747,1609397
2002,W,1011915,600731,1612646
2002,W,1027036,594502,1621538
2002,W,985014,592118,1577132
2002,W,811567,541814,1353381
2002,W,1019675,612626,1632301
2002,W,1014122,609706,1623828
2002,W,1007654,589737,1597391
2002,W,759013,458524,1217537
2002,W,985390,597374,1582764
2002,W,986615,601360,1587975
2002,W,977261,603816,1581077
2002,W,1016162,592329,1608491
2002,W,979843,581612,1561455
2002,W,933204,587918,1521122
2002,W,939542,587701,1527243
2002,W,941136,592045,1533181
2002,W,973482,593596,1567078
2002,W,726815,493625,1220440
2002,W,978944,588656,1567600
2002,W,1008215,593126,1601341
2002,W,1008102,594952,1603054
2002,W,993813,587766,1581579
2002,W,1008613,591093,1599706
2002,W,1021380,612457,1633837
2002,W,1022145,615718,1637863
2002,W,1010579,607626,1618205
2002,W,1005654,591415,1597069
2002,W,992913,579486,1572399
2002,W,990801,590290,1581091
2002,W,993245,591401,1584646
2002,W,930667,574802,1505469
2002,W,961386,564876,1526262
2002,W,895573,544841,1440414
2002,W,938869,571086,1509955
2002,W,989393,580724,1570117
2002,W,965734,571056,1536790
2002,W,755230,472276,1227506
2002,W,971162,566861,1538023
2002,W,970537,585155,1555692
2002,W,1007100,597081,1604181
2002,W,995075,600930,1596005
2002,W,1014222,613919,1628141
2002,W,937560,578417,1515977
2002,W,1013106,607047,1620153
2002,W,1020986,618972,1639958
2002,W,1036014,629240,1665254
2002,W,917031,591700,1508731
2002,W,926258,586214,1512472
2002,W,899896,599906,1499802
2002,W,892185,593532,1485717
2002,W,896865,594280,1491145
2002,W,905545,591974,1497519
2002,W,974101,583247,1557348
2002,W,1021788,620463,1642251
2002,W,918721,602085,1520806
2002,W,1000933,626040,1626973
2002,W,1026348,615024,1641372
2002,W,1001321,584792,1586113
2002,W,1000608,604417,1605025
2002,W,1031532,605198,1636730
2002,W,976392,598086,1574478
2002,W,1075694,606513,1682207
2002,W,994227,598141,1592368
2002,W,1010608,616111,1626719
2002,W,968509,600435,1568944
2002,W,1009271,614202,1623473
2002,W,1047188,609528,1656716
2002,W,975822,570031,1545853
2002,W,1009365,598752,1608117
2002,W,1015551,600667,1616218
2002,W,906240,579727,1485967
2002,W,991682,583205,1574887
2002,W,994112,582646,1576758
2002,W,1008846,613667,1622513
2002,W,999920,618307,1618227
2002,W,969174,606199,1575373
2002,W,995434,576461,1571895
2002,W,959547,588932,1548479
2002,W,980049,601576,1581625
2002,W,990460,606972,1597432
2002,W,1040502,635809,1676311
2002,W,1001778,583147,1584925
2002,W,915667,575065,1490732
2002,W,1005307,602096,1607403
2002,W,1044279,611344,1655623
2002,W,1036716,606193,1642909
2002,W,944065,583512,1527577
2002,W,969387,604162,1573549
2002,W,986714,606658,1593372
2002,W,967153,596032,1563185
2002,W,980140,605447,1585587
2002,W,980090,576747,1556837
2002,W,996706,619540,1616246
2002,W,992928,618449,1611377
2002,W,975703,628191,1603894
2002,W,979910,616117,1596027
2002,W,884749,597643,1482392
2002,W,926613,600847,1527460
2002,W,879533,601333,1480866
2002,W,914452,613276,1527728
2002,W,934562,650340,1584902
2002,W,948966,601509,1550475
2002,W,955991,621541,1577532
2002,W,1004276,785621,1789897
2002,W,807831,500685,1308516
2002,W,929870,575055,1504925
2002,W,919623,579348,1498971
2002,W,941513,591208,1532721
2002,W,969657,594276,1563933
2002,W,963191,618865,1582056
2002,W,949705,608087,1557792
2002,W,946077,621832,1567909
2002,W,931752,595378,1527130
2002,W,942643,596288,1538931
2002,W,960153,612971,1573124
2002,W,900537,595784,1496321
2002,W,955084,623156,1578240
2002,W,945502,617518,1563020
2002,W,931679,608190,1539869
2002,W,942389,590601,1532990
2002,W,893147,565324,1458471
2002,W,934322,614162,1548484
2002,W,912632,603775,1516407
2002,W,969159,607964,1577123
2002,W,1004199,612785,1616984
2002,W,941406,569627,1511033
2002,W,955681,592722,1548403
2002,W,940727,585313,1526040
2002,W,945096,589840,1534936
2002,W,968109,592938,1561047
2002,W,908503,579800,1488303
2002,W,871791,578996,1450787
2002,W,893558,586107,1479665
2002,W,920323,599375,1519698
2002,W,903666,592393,1496059
2002,W,847798,545503,1393301
2002,W,918696,586734,1505430
2002,W,904673,572717,1477390
2002,W,829797,533893,1363690
2002,W,903292,570031,1473323
2002,W,920546,572967,1493513
2002,W,923644,596884,1520528
2002,W,922170,590348,1512518
2002,W,808555,532322,1340877
2002,W,987793,608056,1595849
2002,W,1106907,625970,1732877
2002,W,1087925,634665,1722590
2002,W,1083538,634950,1718488
2002,W,1082951,634809,1717760
2002,W,1071206,630453,1701659
2002,W,1050992,640278,1691270
2002,W,1045640,631554,1677194
2002,W,1059762,645114,1704876
2002,W,1064345,655102,1719447
2002,W,1049667,617848,1667515
2002,W,1064546,644444,1708990
2002,W,1039162,643763,1682925
2002,W,1038608,640884,1679492
2002,W,1019280,626196,1645476
2002,W,1055515,637798,1693313
2002,W,1055580,664958,1720538
2002,W,1064437,666345,1730782
2002,W,1057421,662347,1719768
2002,W,1058970,651373,1710343
2002,W,1048696,634065,1682761
2002,W,1098830,653561,1752391
2002,W,1059836,648879,1708715
2002,W,1100107,655905,1756012
2002,W,1024955,626723,1651678
2002,W,1086922,641838,1728760
2002,W,1074824,650758,1725582
2002,W,1064324,648974,1713298
2002,W,1072954,655002,1727956
2002,W,1074197,658585,1732782
2002,W,806818,542057,1348875
2002,W,1068455,653527,1721982
2002,W,1036205,645880,1682085
2002,W,1030300,645590,1675890
2002,W,1059316,643043,1702359
2002,W,1057968,632256,1690224
2002,W,1047657,645112,1692769
2002,W,1013066,635553,1648619
2002,W,1014798,642039,1656837
2002,W,1022926,632981,1655907
2002,W,1041265,628314,1669579
2002,W,1025525,636398,1661923
2002,W,1036745,639993,1676738
2002,W,1000155,635297,1635452
2002,W,1069031,628183,1697214
2002,W,1072235,633872,1706107
2002,W,994530,613203,1607733
2002,W,1045767,644971,1690738
2002,W,1065889,664817,1730706
2002,W,995294,646927,1642221
2002,W,780558,519021,1299579
2002,W,1029700,637242,1666942
2002,W,1035982,635224,1671206
2002,W,956533,625010,1581543
2002,W,1042694,630267,1672961
2002,W,1018831,619368,1638199
2002,W,1058349,638719,1697068
2002,W,1033748,630680,1664428
2002,W,983825,621257,1605082
2002,W,1030889,618981,1649870
2002,W,992101,602628,1594729
2002,W,959679,611673,1571352
2002,W,946620,584367,1530987
2002,W,676405,367260,1043665
2002,W,966808,598780,1565588
2002,W,1007666,622071,1629737
2002,W,1003459,610601,1614060
2002,W,1005218,607822,1613040
2002,W,1018401,602004,1620405
2002,W,994622,575116,1569738
2002,W,1030456,601656,1632112
2002,W,1021640,603601,1625241
2002,W,1015667,602683,1618350
2002,W,1020480,600852,1621332
2002,W,1003932,577286,1581218
2002,W,985528,583328,1568856
2002,W,939870,571921,1511791
2002,W,1020038,590493,1610531
2002,W,984913,565925,1550838
2002,W,827316,467245,1294561
2002,W,621673,319916,941589
2002,W,661076,372317,1033393
2002,W,744896,424575,1169471
2002,W,773707,469806,1243513
2002,W,792623,456865,1249488
2003,W,757781,484840,1242621
2003,W,861580,515985,1377565
2003,W,982617,574868,1557485
2003,W,982542,580676,1563218
2003,W,1011812,592758,1604570
2003,W,979678,586435,1566113
2003,W,963808,567691,1531499
2003,W,973653,585781,1559434
2003,W,940805,594400,1535205
2003,W,928578,583104,1511682
2003,W,945280,591915,1537195
2003,W,973358,584772,1558130
2003,W,604089,375958,980047
2003,W,954156,590827,1544983
2003,W,912033,572491,1484524
2003,W,822317,541015,1363332
2003,W,893501,546353,1439854
2003,W,922033,564295,1486328
2003,W,952120,598146,1550266
2003,W,970605,594588,1565193
2003,W,993731,601060,1594791
2003,W,929004,577555,1506559
2003,W,1039918,596186,1636104
2003,W,980582,597044,1577626
2003,W,961776,585552,1547328
2003,W,981973,596888,1578861
2003,W,953979,573249,1527228
2003,W,948507,584120,1532627
2003,W,928346,592292,1520638
2003,W,749254,523192,1272446
2003,W,978871,597819,1576690
2003,W,985806,594045,1579851
2003,W,709845,447938,1157783
2003,W,974450,604717,1579167
2003,W,982943,605097,1588040
2003,W,988095,611766,1599861
2003,W,1005940,601156,1607096
2003,W,908324,574013,1482337
2003,W,897857,572520,1470377
2003,W,939161,588630,1527791
2003,W,951569,599144,1550713
2003,W,1011530,597504,1609034
2003,W,822165,535306,1357471
2003,W,964967,606043,1571010
2003,W,868551,583929,1452480
2003,W,874641,573715,1448356
2003,W,980484,584273,1564757
2003,W,916661,573635,1490296
2003,W,971894,601034,1572928
2003,W,981590,604333,1585923
2003,W,978881,609896,1588777
2003,W,1009566,615377,1624943
2003,W,976703,597982,1574685
2003,W,963349,596226,1559575
2003,W,938499,586881,1525380
2003,W,936654,594341,1530995
2003,W,967479,588655,1556134
2003,W,962889,584149,1547038
2003,W,973017,594589,1567606
2003,W,968581,594924,1563505
2003,W,969195,593676,1562871
2003,W,815984,552242,1368226
2003,W,973924,577834,1551758
2003,W,1028531,603564,1632095
2003,W,1020829,602855,1623684
2003,W,995062,592074,1587136
2003,W,912458,572837,1485295
2003,W,873605,565391,1438996
2003,W,947482,599769,1547251
2003,W,986992,611985,1598977
2003,W,1007977,624279,1632256
2003,W,912918,600667,1513585
2003,W,904517,593473,1497990
2003,W,894368,606461,1500829
2003,W,836328,578259,1414587
2003,W,815274,563613,1378887
2003,W,769997,482196,1252193
2003,W,925231,572442,1497673
2003,W,964240,617403,1581643
2003,W,923474,613127,1536601
2003,W,961316,620140,1581456
2003,W,979369,595103,1574472
2003,W,962103,582145,1544248
2003,W,958977,595629,1554606
2003,W,828642,567596,1396238
2003,W,971218,597161,1568379
2003,W,1039212,616460,1655672
2003,W,1006467,608082,1614549
2003,W,1007795,626276,1634071
2003,W,977279,610370,1587649
2003,W,984692,605164,1589856
2003,W,992211,616706,1608917
2003,W,956974,580553,1537527
2003,W,981698,602563,1584261
2003,W,911890,583198,1495088
2003,W,971525,598384,1569909
2003,W,999630,589910,1589540
2003,W,961806,579665,1541471
2003,W,966295,594508,1560803
2003,W,992696,592768,1585464
2003,W,967683,590893,1558576
2003,W,969112,575372,1544484
2003,W,961009,597804,1558813
2003,W,910537,586704,1497241
2003,W,961715,595331,1557046
2003,W,988281,613622,1601903
2003,W,978201,583126,1561327
2003,W,992041,610279,1602320
2003,W,997077,615414,1612491
2003,W,991907,622481,1614388
2003,W,962917,615632,1578549
2003,W,987516,590887,1578403
2003,W,940459,596552,1537011
2003,W,961149,607043,1568192
2003,W,969572,604883,1574455
2003,W,976147,592987,1569134
2003,W,955066,581387,1536453
2003,W,965718,601420,1567138
2003,W,897454,587986,1485440
2003,W,946693,596124,1542817
2003,W,938177,611219,1549396
2003,W,855955,568379,1424334
2003,W,928442,620552,1548994
2003,W,841205,603880,1445085
2003,W,833307,600660,1433967
2003,W,890776,661150,1551926
2003,W,884729,611874,1496603
2003,W,957351,634210,1591561
2003,W,936777,640212,1576989
2003,W,983110,790702,1773812
2003,W,852771,569437,1422208
2003,W,846175,579733,1425908
2003,W,871942,598967,1470909
2003,W,893195,614469,1507664
2003,W,907669,615433,1523102
2003,W,905206,611190,1516396
2003,W,874304,618204,1492508
2003,W,915630,597927,1513557
2003,W,861722,579675,1441397
2003,W,902204,590356,1492560
2003,W,883219,578363,1461582
2003,W,889426,590880,1480306
2003,W,906650,622160,1528810
2003,W,896387,622281,1518668
2003,W,903368,591792,1495160
2003,W,849172,562933,1412105
2003,W,903830,615414,1519244
2003,W,880392,616406,1496798
2003,W,889575,617395,1506970
2003,W,912597,605206,1517803
2003,W,920408,585024,1505432
2003,W,918113,600556,1518669
2003,W,883115,581895,1465010
2003,W,923161,584026,1507187
2003,W,903597,583831,1487428
2003,W,806587,566910,1373497
2003,W,864526,595230,1459756
2003,W,875224,614427,1489651
2003,W,857542,592601,1450143
2003,W,873580,602111,1475691
2003,W,821919,559214,1381133
2003,W,853603,577418,1431021
2003,W,838351,567116,1405467
2003,W,820578,562565,1383143
2003,W,867524,576202,1443726
2003,W,850528,561134,1411662
2003,W,836703,573211,1409914
2003,W,862298,578962,1441260
2003,W,857707,578781,1436488
2003,W,902436,604839,1507275
2003,W,1025978,648864,1674842
2003,W,1059974,650319,1710293
2003,W,1040002,652383,1692385
2003,W,1044868,634834,1679702
2003,W,1028540,623072,1651612
2003,W,1030074,632686,1662760
2003,W,1019275,645858,1665133
2003,W,1018196,639732,1657928
2003,W,1002297,650171,1652468
2003,W,1015639,653569,1669208
2003,W,1033950,663607,1697557
2003,W,1023215,663761,1686976
2003,W,1023301,647465,1670766
2003,W,1019769,642616,1662385
2003,W,992288,638244,1630532
2003,W,1023379,655433,1678812
2003,W,973736,643836,1617572
2003,W,1006367,648354,1654721
2003,W,939175,643987,1583162
2003,W,1001427,637350,1638777
2003,W,1000725,637394,1638119
2003,W,1051684,644239,1695923
2003,W,1016259,641608,1657867
2003,W,999345,667963,1667308
2003,W,1018276,618461,1636737
2003,W,1051869,699907,1751776
2003,W,1026066,693316,1719382
2003,W,1011003,650911,1661914
2003,W,1031598,661985,1693583
2003,W,780132,547856,1327988
2003,W,928265,691539,1619804
2003,W,1026737,711785,1738522
2003,W,1013203,650877,1664080
2003,W,1023752,651230,1674982
2003,W,1077011,632330,1709341
2003,W,958546,644683,1603229
2003,W,1003925,640420,1644345
2003,W,1008328,644198,1652526
2003,W,1008879,639483,1648362
2003,W,990268,620687,1610955
2003,W,978501,631318,1609819
2003,W,986799,637933,1624732
2003,W,1006074,652674,1658748
2003,W,996142,628603,1624745
2003,W,1007989,614598,1622587
2003,W,1003988,630296,1634284
2003,W,1015157,639104,1654261
2003,W,1015139,644961,1660100
2003,W,906629,620991,1527620
2003,W,981163,606222,1587385
2003,W,789039,542871,1331910
2003,W,977852,627509,1605361
2003,W,901163,616525,1517688
2003,W,964479,632553,1597032
2003,W,996959,618428,1615387
2003,W,881272,608253,1489525
2003,W,1011052,632045,1643097
2003,W,1006072,638332,1644404
2003,W,1004115,626155,1630270
2003,W,897941,583860,1481801
2003,W,945699,602970,1548669
2003,W,930556,579257,1509813
2003,W,557794,344266,902060
2003,W,998632,601364,1599996
2003,W,984587,605675,1590262
2003,W,1002993,613563,1616556
2003,W,962556,610322,1572878
2003,W,968576,606672,1575248
2003,W,975766,586022,1561788
2003,W,959147,594395,1553542
2003,W,945145,597600,1542745
2003,W,936467,591327,1527794
2003,W,912540,575833,1488373
2003,W,936119,568654,1504773
2003,W,926650,576496,1503146
2003,W,925481,573820,1499301
2003,W,917919,567624,1485543
2003,W,926113,555922,1482035
2003,W,797301,508014,1305315
2003,W,770607,486462,1257069
2003,W,610061,333655,943716
2003,W,605667,321094,926761
2003,W,732494,461979,1194473
2003,W,725126,474545,1199671
2003,W,678329,430971,1109300
2004,W,754051,421851,1175902
2004,W,894467,548650,1443117
2004,W,788158,516396,1304554
2004,W,851011,536299,1387310
2004,W,903950,556891,1460841
2004,W,929117,560519,1489636
2004,W,982070,588906,1570976
2004,W,977382,596765,1574147
2004,W,956180,591625,1547805
2004,W,962171,590965,1553136
2004,W,969715,578153,1547868
2004,W,557712,353859,911571
2004,W,939415,572634,1512049
2004,W,949321,576593,1525914
2004,W,854150,542344,1396494
2004,W,903734,550366,1454100
2004,W,925536,566031,1491567
2004,W,906997,586852,1493849
2004,W,887763,565269,1453032
2004,W,855905,553448,1409353
2004,W,756185,500887,1257072
